epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,ls_g0,ls_g1,ls_g2,tau, nu, delta, kapa, vf, rhorc,
330, 5.045407e+11, -3.939260e+03, 3.511297e+11,3.628800e+05,4.288325e+02,1.454226e+01,9.408701e-01,1.353957e+05,2.640259e+02,9.152029e+00,9.803042e-01,3.307224e+00,-1.280099e+00,-2.347861e-01,5.626409e+01,4.924293e+00,7.461222e+00,-9.595811e-01,3.485188e+00,1.060963e+00,1.652170e+00,9.161932e-01,2.174640e+00,-2.967766e+00,-1.243975e-02,0.306562,1,1,2.53356,-2.04256,0,0.291323,0,0,
340, 3.326171e+11, -3.987395e+03, 4.052757e+11,3.611055e+05,4.281066e+02,1.446089e+01,9.411593e-01,1.341496e+05,2.625445e+02,9.083771e+00,9.804855e-01,3.373369e+00,-1.294941e+00,-2.506208e-01,6.406180e+01,4.987753e+00,7.482243e+00,-1.231162e+00,3.381294e+00,1.048919e+00,1.630036e+00,9.186915e-01,2.182160e+00,-2.974804e+00,1.295366e-02,0.306551,1,1,2.53358,-2.04258,0,0.291323,0,0,
350, 2.628767e+11, -4.034365e+03, 4.272361e+12,3.602678e+05,4.280651e+02,1.442929e+01,9.412958e-01,1.339179e+05,2.620387e+02,9.059909e+00,9.805192e-01,3.435737e+00,-1.308803e+00,-2.631558e-01,7.113147e+01,5.104710e+00,7.720449e+00,-1.477386e+00,3.332258e+00,1.045097e+00,1.621942e+00,9.198706e-01,2.196761e+00,-2.984652e+00,2.591985e-02,0.306538,1,1,2.53359,-2.04259,0,0.291323,0,0,
360, 2.127506e+11, -4.072645e+03, 3.607532e+11,3.572472e+05,4.262460e+02,1.436300e+01,9.417880e-01,1.334335e+05,2.639595e+02,9.120860e+00,9.805896e-01,3.494416e+00,-1.321885e+00,-2.726826e-01,6.060520e+01,5.126651e+00,7.743107e+00,-1.110775e+00,3.266519e+00,1.037823e+00,1.607562e+00,9.214514e-01,2.216625e+00,-2.994733e+00,3.543763e-02,0.306424,1,1,2.53398,-2.04298,0,0.291323,0,0,
370, 9.375710e+10, -3.905074e+03, 9.856419e+10,3.704793e+05,4.383697e+02,1.475734e+01,9.396318e-01,1.618768e+05,2.842464e+02,9.991100e+00,9.764520e-01,3.539692e+00,-1.326801e+00,-2.858182e-01,4.671611e+01,4.679448e+00,7.137072e+00,-6.270415e-01,3.223740e+00,1.032328e+00,1.596521e+00,9.224801e-01,2.235107e+00,-3.003260e+00,4.434687e-02,0.306343,1,1,2.53426,-2.04326,0,0.291323,0,0,
380, 3.991718e+10, -4.048337e+03, 4.847667e+11,3.575525e+05,4.282785e+02,1.445078e+01,9.417382e-01,1.426531e+05,2.730567e+02,9.507537e+00,9.792485e-01,3.575440e+00,-1.335557e+00,-2.917533e-01,5.259113e+01,4.797892e+00,7.288242e+00,-8.316583e-01,3.226871e+00,1.035181e+00,1.599850e+00,9.224048e-01,2.246990e+00,-3.011626e+00,5.211596e-02,0.306309,1,1,2.53437,-2.04337,0,0.291323,0,0,
390, 5.254967e+10, -4.126917e+03, 4.421870e+10,3.573037e+05,4.282626e+02,1.438361e+01,9.417788e-01,1.345027e+05,2.618515e+02,9.054711e+00,9.804341e-01,3.613618e+00,-1.354552e+00,-2.865367e-01,5.914832e+01,4.941438e+00,7.490157e+00,-1.060034e+00,3.197014e+00,1.030446e+00,1.590802e+00,9.231228e-01,2.253884e+00,-3.020386e+00,5.951912e-02,0.306295,1,1,2.53442,-2.04342,0,0.291324,0,0,
400, 4.584818e+10, -4.168130e+03, 4.820446e+10,3.531967e+05,4.247267e+02,1.424588e+01,9.424480e-01,1.305300e+05,2.606704e+02,8.981931e+00,9.810120e-01,3.652510e+00,-1.372131e+00,-2.837667e-01,6.253096e+01,4.967511e+00,7.535917e+00,-1.177846e+00,3.182972e+00,1.027190e+00,1.584339e+00,9.234604e-01,2.257788e+00,-3.028728e+00,6.261628e-02,0.306034,1,1,2.53538,-2.04438,0,0.291323,0,0,
410, 7.514008e+11, -4.184768e+03, 2.966440e+11,3.526101e+05,4.245057e+02,1.423916e+01,9.425436e-01,1.293690e+05,2.590603e+02,8.920337e+00,9.811809e-01,3.689718e+00,-1.385135e+00,-2.875191e-01,5.129337e+01,4.801550e+00,7.273695e+00,-7.864595e-01,3.191166e+00,1.028685e+00,1.586415e+00,9.232634e-01,2.259002e+00,-3.036874e+00,6.455852e-02,0.305904,1,1,2.53585,-2.04485,0,0.291322,0,0,
420, 3.988368e+11, -4.196712e+03, 5.459206e+11,3.522887e+05,4.245304e+02,1.422836e+01,9.425959e-01,1.288771e+05,2.583157e+02,8.889499e+00,9.812525e-01,3.723742e+00,-1.396632e+00,-2.937832e-01,6.311075e+01,5.168700e+00,7.765661e+00,-1.198039e+00,3.178854e+00,1.024640e+00,1.580833e+00,9.235595e-01,2.257588e+00,-3.044496e+00,6.580515e-02,0.305634,1,1,2.53676,-2.04576,0,0.291322,0,0,
430, 2.708599e+11, -4.207483e+03, 1.640270e+11,3.517560e+05,4.242504e+02,1.420810e+01,9.426827e-01,1.286387e+05,2.581963e+02,8.879994e+00,9.812871e-01,3.753956e+00,-1.408051e+00,-3.001361e-01,5.626905e+01,5.018087e+00,7.570001e+00,-9.597539e-01,3.170639e+00,1.025366e+00,1.581931e+00,9.237570e-01,2.258973e+00,-3.048861e+00,6.253657e-02,0.305442,1,1,2.53739,-2.04639,0,0.291322,0,0,
440, 1.943920e+11, -4.217098e+03, 4.533107e+11,3.517883e+05,4.243990e+02,1.419873e+01,9.426775e-01,1.283383e+05,2.574133e+02,8.849864e+00,9.813308e-01,3.780270e+00,-1.418689e+00,-3.065363e-01,6.064933e+01,5.066152e+00,7.642212e+00,-1.112311e+00,3.159684e+00,1.023881e+00,1.579218e+00,9.240204e-01,2.264134e+00,-3.049709e+00,6.234820e-02,0.305369,1,1,2.53761,-2.04661,0,0.291322,0,0,
450, 2.414740e+11, -4.193476e+03, 3.450256e+11,3.535874e+05,4.265357e+02,1.425297e+01,9.423843e-01,1.315770e+05,2.590622e+02,8.914927e+00,9.808597e-01,3.802708e+00,-1.427913e+00,-3.131111e-01,7.486923e+01,5.356256e+00,8.045353e+00,-1.607566e+00,3.156359e+00,1.024575e+00,1.579637e+00,9.241004e-01,2.268660e+00,-3.050031e+00,6.885484e-02,0.305337,1,1,2.5377,-2.0467,0,0.291322,0,0,
460, 6.581105e+11, -4.135544e+03, 8.996465e+11,3.524172e+05,4.257306e+02,1.425341e+01,9.425750e-01,1.383824e+05,2.690736e+02,9.316736e+00,9.798697e-01,3.813663e+00,-1.431356e+00,-3.225767e-01,6.664752e+01,5.171542e+00,7.842484e+00,-1.321218e+00,3.147694e+00,1.024318e+00,1.578690e+00,9.243087e-01,2.271276e+00,-3.051871e+00,7.479341e-02,0.305318,1,1,2.53774,-2.04674,0,0.291322,0,0,
470, 5.305051e+11, -4.178875e+03, 2.236795e+11,3.506586e+05,4.245757e+02,1.421128e+01,9.428615e-01,1.327701e+05,2.635859e+02,9.098375e+00,9.806862e-01,3.819879e+00,-1.438019e+00,-3.259807e-01,6.857419e+01,5.310834e+00,8.029167e+00,-1.388321e+00,3.179475e+00,1.033978e+00,1.593746e+00,9.235445e-01,2.273666e+00,-3.056721e+00,7.803564e-02,0.305305,1,1,2.53775,-2.04675,0,0.291322,0,0,
480, 1.282855e+11, -4.226464e+03, 2.084643e+11,3.495636e+05,4.235751e+02,1.415931e+01,9.430400e-01,1.290115e+05,2.592650e+02,8.919037e+00,9.812329e-01,3.829335e+00,-1.447897e+00,-3.245680e-01,6.883447e+01,5.183715e+00,7.852304e+00,-1.397386e+00,3.114020e+00,1.023968e+00,1.576989e+00,9.251185e-01,2.274678e+00,-3.066516e+00,7.409493e-02,0.305288,1,1,2.53777,-2.04677,0,0.291322,0,0,
490, 1.289453e+11, -4.241511e+03, 2.559871e+11,3.494180e+05,4.235217e+02,1.414270e+01,9.430637e-01,1.277784e+05,2.573589e+02,8.840654e+00,9.814123e-01,3.840609e+00,-1.456075e+00,-3.247343e-01,7.129202e+01,5.270906e+00,7.915047e+00,-1.482978e+00,3.079597e+00,1.011598e+00,1.558535e+00,9.259462e-01,2.282597e+00,-3.077204e+00,7.427416e-02,0.305276,1,1,2.53778,-2.04678,0,0.291322,0,0,
