epoch, ELBO, lpy, lpg,MSETest0,MAETest0,MAPETest0,R2Test0,MSETrain0,MAETrain0,MAPETrain0,R2Train0,tau0,ls0,amp0,MSETest1,MAETest1,MAPETest1,R2Test1,MSETrain1,MAETrain1,MAPETrain1,R2Train1,tau1,ls1,amp1,
340, 4.352203e+02, 4.352203e+02, 0.000000e+00,2.659296e+06,1.222921e+03,7.157222e+01,5.596368e-01,2.625087e+06,1.234294e+03,7.849793e+01,5.966744e-01,8.731453e-01,-1.264527e+00,-3.573516e-01,1.250727e+01,1.710792e+00,2.965438e+00,7.612504e-01,2.197393e+00,8.214539e-01,1.268180e+00,9.325229e-01,2.078958e+00,-3.896839e+00,-4.946767e-02,
350, 4.153383e+02, 4.153383e+02, 0.000000e+00,2.622266e+06,1.215864e+03,7.069109e+01,5.657688e-01,2.599028e+06,1.228925e+03,7.758534e+01,6.006782e-01,8.806978e-01,-1.272415e+00,-3.462882e-01,1.231245e+01,1.713396e+00,2.958082e+00,7.649694e-01,2.149470e+00,8.134512e-01,1.254564e+00,9.339945e-01,2.110325e+00,-3.927855e+00,-3.803081e-02,
360, 4.095856e+02, 4.095856e+02, 0.000000e+00,2.659431e+06,1.215027e+03,7.175196e+01,5.596146e-01,2.583494e+06,1.215642e+03,7.716743e+01,6.030647e-01,8.838122e-01,-1.283655e+00,-3.330062e-01,1.206836e+01,1.708596e+00,2.938755e+00,7.696289e-01,2.077884e+00,8.041511e-01,1.238736e+00,9.361928e-01,2.135834e+00,-3.961162e+00,-3.801301e-02,
370, 3.621027e+02, 3.621027e+02, 0.000000e+00,2.549470e+06,1.194493e+03,6.878541e+01,5.778235e-01,2.512132e+06,1.203434e+03,7.469002e+01,6.140290e-01,9.022362e-01,-1.296875e+00,-3.193235e-01,1.202995e+01,1.706366e+00,2.939153e+00,7.703621e-01,2.001191e+00,7.912905e-01,1.217227e+00,9.385479e-01,2.159382e+00,-3.992710e+00,-4.194914e-02,
380, 3.012399e+02, 3.012399e+02, 0.000000e+00,2.463716e+06,1.164414e+03,6.649025e+01,5.920237e-01,2.402043e+06,1.171024e+03,7.134295e+01,6.309434e-01,9.444072e-01,-1.324317e+00,-2.846065e-01,1.259028e+01,1.707222e+00,2.980113e+00,7.596661e-01,1.783993e+00,7.553926e-01,1.158562e+00,9.452175e-01,2.184733e+00,-4.020057e+00,-4.201137e-02,
390, 2.616607e+02, 2.616607e+02, 0.000000e+00,2.390574e+06,1.136158e+03,6.687057e+01,6.041356e-01,2.234206e+06,1.109594e+03,6.835563e+01,6.567304e-01,9.258781e-01,-1.368281e+00,-2.197021e-01,1.207632e+01,1.697556e+00,2.945092e+00,7.694768e-01,1.755964e+00,7.463347e-01,1.145745e+00,9.460782e-01,2.228679e+00,-4.024763e+00,-5.915941e-02,
400, -1.849678e+02, -1.849678e+02, 0.000000e+00,1.512530e+06,8.704670e+02,4.974874e+01,7.495343e-01,1.347411e+06,8.279933e+02,4.941396e+01,7.929799e-01,1.109508e+00,-1.472201e+00,-2.684481e-03,1.234210e+01,1.699399e+00,2.952505e+00,7.644034e-01,1.718642e+00,7.415668e-01,1.136333e+00,9.472243e-01,2.265965e+00,-4.025777e+00,-7.104200e-02,
410, -1.060772e+03, -1.060772e+03, 0.000000e+00,2.956462e+05,3.854696e+02,1.514511e+01,9.510428e-01,2.619321e+05,3.696984e+02,1.582212e+01,9.597560e-01,1.479303e+00,-1.742095e+00,3.076228e-01,1.267413e+01,1.720750e+00,2.993206e+00,7.580653e-01,1.727780e+00,7.469105e-01,1.142026e+00,9.469437e-01,2.284744e+00,-4.036058e+00,-5.165121e-02,
420, -1.439387e+03, -1.439387e+03, 0.000000e+00,2.703171e+05,3.772138e+02,1.498619e+01,9.552371e-01,2.221599e+05,3.452046e+02,1.499566e+01,9.658667e-01,1.871595e+00,-1.865602e+00,2.778071e-01,1.250725e+01,1.711390e+00,2.959886e+00,7.612509e-01,1.892594e+00,7.717984e-01,1.182436e+00,9.418826e-01,2.281907e+00,-4.071070e+00,-1.879103e-03,
430, -1.850274e+03, -1.850274e+03, 0.000000e+00,2.275584e+05,3.357186e+02,1.237431e+01,9.623177e-01,1.895241e+05,3.157236e+02,1.320198e+01,9.708810e-01,2.218458e+00,-1.851428e+00,7.038543e-02,1.203329e+01,1.709487e+00,2.932432e+00,7.702983e-01,1.985313e+00,7.842253e-01,1.204097e+00,9.390354e-01,2.251745e+00,-4.128239e+00,-6.064011e-03,
440, -2.178934e+03, -2.178934e+03, 0.000000e+00,1.872847e+05,2.952586e+02,1.033526e+01,9.689868e-01,1.479790e+05,2.733177e+02,1.043815e+01,9.772641e-01,2.518528e+00,-1.894508e+00,-6.889462e-02,1.210644e+01,1.685733e+00,2.933361e+00,7.689020e-01,1.705792e+00,7.390713e-01,1.132295e+00,9.476189e-01,2.218791e+00,-4.184797e+00,-3.704986e-02,
450, -2.407122e+03, -2.407122e+03, 0.000000e+00,1.802764e+05,2.911739e+02,1.022930e+01,9.701473e-01,1.449738e+05,2.698050e+02,1.019784e+01,9.777258e-01,2.781446e+00,-1.923371e+00,-1.533089e-01,1.300862e+01,1.724524e+00,3.047391e+00,7.516804e-01,1.436867e+00,6.918137e-01,1.056559e+00,9.558770e-01,2.239692e+00,-4.191647e+00,-7.691164e-02,
460, -2.564361e+03, -2.564361e+03, 0.000000e+00,1.777435e+05,2.877788e+02,9.803743e+00,9.705668e-01,1.380585e+05,2.621388e+02,9.765586e+00,9.787883e-01,3.004034e+00,-1.920113e+00,-2.118000e-01,1.273649e+01,1.700435e+00,2.985936e+00,7.568750e-01,1.534603e+00,7.082345e-01,1.081508e+00,9.528757e-01,2.300218e+00,-4.164067e+00,-8.028811e-02,
470, -2.579231e+03, -2.579231e+03, 0.000000e+00,1.953758e+05,3.048956e+02,1.012982e+01,9.676470e-01,1.520034e+05,2.761092e+02,1.026225e+01,9.766458e-01,3.189014e+00,-1.910000e+00,-2.312186e-01,1.231175e+01,1.693889e+00,2.947000e+00,7.649828e-01,1.534709e+00,7.088050e-01,1.081377e+00,9.528725e-01,2.345914e+00,-4.147579e+00,-5.088667e-02,
480, -2.695367e+03, -2.695367e+03, 0.000000e+00,1.855825e+05,2.967012e+02,9.741256e+00,9.692687e-01,1.417485e+05,2.664977e+02,9.826040e+00,9.782214e-01,3.336271e+00,-1.898192e+00,-2.319303e-01,1.242814e+01,1.705455e+00,2.971504e+00,7.627611e-01,1.406499e+00,6.841312e-01,1.040446e+00,9.568095e-01,2.372846e+00,-4.143757e+00,-2.943986e-02,
490, -2.793806e+03, -2.793806e+03, 0.000000e+00,1.776143e+05,2.890261e+02,9.463741e+00,9.705882e-01,1.309345e+05,2.558663e+02,9.408402e+00,9.798829e-01,3.454443e+00,-1.878231e+00,-2.380816e-01,1.279768e+01,1.730042e+00,3.023025e+00,7.557070e-01,1.367322e+00,6.760369e-01,1.028932e+00,9.580126e-01,2.405699e+00,-4.128496e+00,-4.353133e-02,
